Operator,Tests,Generation,Simulation,%,Status,Changed Last,Status Last
BitheapTest,0,0,0,0,Undefined,n/a,Undefined
Compressor,0,0,0,0,Undefined,n/a,Undefined
DAGOperator,0,0,0,0,Undefined,n/a,Undefined
DSPBlock,0,0,0,0,Undefined,n/a,Undefined
Exp,0,0,0,0,Undefined,n/a,Undefined
FP2Fix,6,6,6,100,Undefined,n/a,Undefined
FPAdd,9,9,9,100,Undefined,n/a,Undefined
FPComparator,3,3,3,100,Undefined,n/a,Undefined
FPConstDiv,6,6,6,100,Undefined,n/a,Undefined
FPConstMult,9,9,9,100,Undefined,n/a,Undefined
FPConstMultRational,6,3,3,50,Undefined,n/a,Undefined
FPDiv,3,3,3,100,Undefined,n/a,Undefined
FPExp,3,3,3,100,Undefined,n/a,Undefined
FPLog,3,3,3,100,Undefined,n/a,Undefined
FPMult,3,3,3,100,Undefined,n/a,Undefined
FPPow,6,6,3,50,Undefined,n/a,Undefined
FPSqrt,3,3,3,100,Undefined,n/a,Undefined
Fix2DNorm,0,0,0,0,Undefined,n/a,Undefined
Fix2FP,0,0,0,0,Undefined,n/a,Undefined
FixAtan2,0,0,0,0,Undefined,n/a,Undefined
FixComplexAdder,0,0,0,0,Undefined,n/a,Undefined
FixComplexKCM,0,0,0,0,Undefined,n/a,Undefined
FixComplexR2Butterfly,0,0,0,0,Undefined,n/a,Undefined
FixFFTFullyPA,0,0,0,0,Undefined,n/a,Undefined
FixFIR,0,0,0,0,Undefined,n/a,Undefined
FixFixConstMult,0,0,0,0,Undefined,n/a,Undefined
FixFunctionByMultipartiteTable,0,0,0,0,Undefined,n/a,Undefined
FixFunctionByPiecewisePoly,0,0,0,0,Undefined,n/a,Undefined
FixFunctionBySimplePoly,0,0,0,0,Undefined,n/a,Undefined
FixFunctionByTable,0,0,0,0,Undefined,n/a,Undefined
FixHalfSine,0,0,0,0,Undefined,n/a,Undefined
FixIIR,1,1,1,100,Undefined,n/a,Undefined
FixIIRShiftAdd,0,0,0,0,Undefined,n/a,Undefined
FixMultAdd,36,36,34,94.4444,Undefined,n/a,Undefined
FixRealConstMult,0,0,0,0,Undefined,n/a,Undefined
FixRealKCM,0,0,0,0,Undefined,n/a,Undefined
FixRealShiftAdd,0,0,0,0,Undefined,n/a,Undefined
FixRootRaisedCosine,0,0,0,0,Undefined,n/a,Undefined
FixSOPC,0,0,0,0,Undefined,n/a,Undefined
FixSOPCfull,0,0,0,0,Undefined,n/a,Undefined
FixSinCos,0,0,0,0,Undefined,n/a,Undefined
FixSinOrCos,0,0,0,0,Undefined,n/a,Undefined
GenericLut,0,0,0,0,Undefined,n/a,Undefined
GenericMux,0,0,0,0,Undefined,n/a,Undefined
IEEEFPAdd,0,0,0,0,Undefined,n/a,Undefined
IEEEFPExp,3,3,3,100,Undefined,n/a,Undefined
IEEEFPFMA,0,0,0,0,Undefined,n/a,Undefined
InputIEEE,0,0,0,0,Undefined,n/a,Undefined
IntAddSub,4,4,4,100,Undefined,n/a,Undefined
IntAdder,0,0,0,0,Undefined,n/a,Undefined
IntComparator,0,0,0,0,Undefined,n/a,Undefined
IntConstDiv,5,5,5,100,Undefined,n/a,Undefined
IntConstMult,20,20,20,100,Undefined,n/a,Undefined
IntConstMultShiftAdd,38,38,38,100,Undefined,n/a,Undefined
IntConstMultShiftAddOpt,11,11,11,100,Undefined,n/a,Undefined
IntConstMultShiftAddOptTernary,11,11,11,100,Undefined,n/a,Undefined
IntConstMultShiftAddPlain,0,0,0,0,Undefined,n/a,Undefined
IntConstMultShiftAddRPAG,10,0,0,0,Undefined,n/a,Undefined
IntConstantComparator,0,0,0,0,Undefined,n/a,Undefined
IntDualAddSub,0,0,0,0,Undefined,n/a,Undefined
IntFIRTransposed,7,7,7,100,Undefined,n/a,Undefined
IntKaratsubaRectangular,0,0,0,0,Undefined,n/a,Undefined
IntMultiAdder,0,0,0,0,Undefined,n/a,Undefined
IntMultiplier,20,20,20,100,Undefined,n/a,Undefined
IntMultiplierLUT,6,6,6,100,Undefined,n/a,Undefined
IntSquarer,0,0,0,0,Undefined,n/a,Undefined
IntSquarerLUT,0,0,0,0,Undefined,n/a,Undefined
LZOC,0,0,0,0,Undefined,n/a,Undefined
LZOC3,0,0,0,0,Undefined,n/a,Undefined
Normalizer,12,12,12,100,Undefined,n/a,Undefined
OutputIEEE,0,0,0,0,Undefined,n/a,Undefined
PIF2Fix,0,0,0,0,Undefined,n/a,Undefined
PIF2Posit,0,0,0,0,Undefined,n/a,Undefined
PIFAdd,0,0,0,0,Undefined,n/a,Undefined
Posit2FP,0,0,0,0,Undefined,n/a,Undefined
Posit2PIF,0,0,0,0,Undefined,n/a,Undefined
Posit2Posit,0,0,0,0,Undefined,n/a,Undefined
PositAdd,0,0,0,0,Undefined,n/a,Undefined
PositExp,0,0,0,0,Undefined,n/a,Undefined
PositFunctionByTable,0,0,0,0,Undefined,n/a,Undefined
RegisterSandwich,0,0,0,0,Undefined,n/a,Undefined
RowAdder,0,0,0,0,Undefined,n/a,Undefined
SRTDivNbBitsMin,0,0,0,0,Undefined,n/a,Undefined
ShiftReg,0,0,0,0,Undefined,n/a,Undefined
Shifter,0,0,0,0,Undefined,n/a,Undefined
SortWrapper,0,0,0,0,Undefined,n/a,Undefined
SortingNetwork,0,0,0,0,Undefined,n/a,Undefined
TaoSort,0,0,0,0,Undefined,n/a,Undefined
TestBench,0,0,0,0,Undefined,n/a,Undefined
TutorialOperator,0,0,0,0,Undefined,n/a,Undefined
UniformPiecewisePolyApprox,0,0,0,0,Undefined,n/a,Undefined
VaryingPiecewisePolyApprox,0,0,0,0,Undefined,n/a,Undefined
Total,244,231,226,92.623,Undefined,n/a,Undefined
